"id","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","n"
"i1",40,58,73,37,34,38,42,39,38,49,48,68,27,42,58,62,52,31
"i2",39,58,63,35,42,49,44,55,43,48,55,62,36,58,55,59,62,31
"i3",55,60,68,49,46,67,55,59,52,58,67,69,39,38,51,71,72,19
"i4",44,47,55,39,31,34,40,45,42,42,42,62,37,45,53,53,52,33
"i5",49,54,61,41,48,46,47,55,41,54,56,61,44,40,57,66,61,31
"i6",44,46,60,34,35,44,43,41,33,38,45,60,30,44,44,51,48,44
"i7",49,55,62,42,43,50,45,47,38,48,52,65,36,45,52,56,57,325
"i8",54,59,71,50,52,47,47,54,36,47,48,70,44,50,58,55,62,20
"i9",42,55,70,35,32,66,44,48,39,35,55,58,39,52,45,55,45,17
"i10",50,60,66,46,43,49,52,58,38,52,56,68,40,50,57,62,58,72
"i11",60,53,61,47,50,60,61,59,51,53,62,67,50,59,67,54,67,21
"i12",52,56,63,41,41,55,53,53,45,45,53,60,37,40,64,61,59,169
"i13",52,53,60,48,39,58,62,60,55,43,54,57,37,31,63,61,58,15
"i14",52,60,63,50,48,51,52,55,48,53,56,62,41,47,61,66,59,78
"i15",47,53,68,37,31,48,41,50,48,51,51,58,37,35,67,60,60,41
"i16",49,49,55,37,39,45,44,43,39,44,47,59,36,44,49,53,54,118
"i17",47,45,52,31,38,42,36,35,38,36,38,56,29,33,38,46,43,29
"i18",46,49,54,37,41,50,41,42,37,39,42,53,24,20,63,57,62,18
"i19",41,38,48,29,31,41,35,41,37,33,41,57,27,39,41,38,41,19
"i20",46,48,57,42,41,54,46,44,45,46,49,59,36,43,53,56,54,132
"i21",48,53,58,44,48,46,46,49,39,50,48,66,28,48,49,65,63,36
"i22",58,54,62,45,45,61,55,59,49,48,54,65,41,47,63,66,66,37
"i23",57,67,67,53,52,63,53,55,46,57,62,70,44,57,51,70,71,44
"i24",43,52,62,44,48,50,52,56,43,45,52,57,31,44,59,59,58,30
"i25",46,52,54,36,37,43,46,50,37,41,48,63,30,38,60,55,54,88
"i26",46,48,59,42,39,50,39,38,37,46,48,64,31,51,58,56,58,38
"i27",42,51,60,34,40,36,36,32,36,52,47,53,34,38,42,53,49,13
"i28",48,55,66,44,42,52,48,47,42,46,51,62,39,43,57,61,61,132
"i29",50,65,74,49,50,53,43,55,45,45,54,67,41,47,69,60,54,22
"i30",59,63,66,42,60,52,40,49,45,61,54,57,32,54,59,73,63,22
"i31",46,55,62,34,41,47,50,55,45,45,41,52,32,32,55,47,46,13
"i32",43,60,69,50,45,60,45,46,45,40,49,61,32,47,52,60,59,41
"i33",44,47,59,39,36,51,43,47,44,40,46,59,29,40,54,55,55,75
"i34",53,61,59,49,49,58,54,57,57,58,46,61,46,52,58,69,60,19
"i35",61,53,64,42,36,55,49,51,40,42,54,53,29,39,56,57,62,20
"i36",50,51,69,34,46,46,35,47,37,40,38,65,32,53,48,45,52,31
"i37",56,54,55,39,36,48,40,42,44,42,47,53,38,47,52,52,51,56
"i38",54,56,62,45,44,51,48,50,43,49,53,65,39,46,59,61,59,1028
"i39",52,57,64,43,43,51,49,55,41,48,56,67,34,52,65,59,61,58
"i40",52,55,60,46,43,54,49,49,47,47,52,61,40,49,55,60,59,631
"i41",46,57,71,45,44,42,46,39,39,44,52,52,29,48,44,68,44,20
"i42",59,52,57,38,44,46,56,52,38,51,49,68,33,42,62,59,55,104
"i43",57,55,63,41,42,57,43,49,45,49,52,70,36,54,53,63,61,157
"i44",51,54,51,38,41,42,45,49,42,46,49,55,35,39,57,54,54,65
"i45",41,48,57,39,34,44,36,36,37,44,47,50,29,24,51,59,56,27
"i46",45,53,64,44,43,58,53,55,45,50,58,64,40,48,57,57,58,42
"i47",63,67,89,45,36,62,38,78,62,47,81,87,28,58,81,81,72,13
"i48",48,57,63,47,45,53,48,49,42,48,51,67,34,42,58,60,58,83
"i49",50,41,52,33,27,43,42,41,38,42,52,59,31,40,50,58,56,29
"i50",44,56,65,39,35,51,45,49,43,34,47,49,36,30,52,51,53,49
"i51",49,47,44,33,47,41,51,49,33,56,43,63,29,35,50,57,56,18
"i52",51,45,54,37,37,49,37,42,36,46,54,58,28,43,61,60,64,44
"i53",57,59,63,41,44,52,45,49,44,48,47,60,34,41,49,52,51,35
"i54",48,56,57,44,44,47,47,49,40,53,53,63,39,45,59,65,57,51
"i55",41,52,58,32,37,46,37,44,41,36,51,49,34,44,46,51,45,39
"i56",53,53,59,38,35,56,53,55,39,48,56,61,35,40,59,60,55,56
"i57",52,51,57,41,46,54,51,53,43,45,51,65,41,36,60,59,58,61
"i58",50,55,62,44,43,52,45,48,42,45,52,62,38,44,57,59,57,884
"i59",49,51,61,41,43,53,42,45,38,43,50,61,38,47,54,53,56,92
"i60",53,53,59,39,42,55,54,53,39,46,50,65,35,38,51,56,61,37
"i61",41,51,53,40,32,46,45,43,37,37,46,65,21,25,64,46,46,35
"i62",59,52,57,46,47,56,42,40,45,46,46,66,40,46,48,51,53,37
"i63",50,49,54,36,39,53,46,42,42,43,50,64,34,49,54,59,59,106
"i64",57,56,55,49,48,58,42,60,54,40,48,66,41,51,58,63,64,24
"i65",50,56,63,44,42,53,51,54,44,47,53,64,37,43,60,61,58,374
"i66",50,56,59,42,63,49,47,47,52,47,52,67,42,46,62,50,56,18
"i67",36,55,69,34,37,39,32,38,44,36,38,60,32,34,45,49,54,17
"i68",53,53,55,38,39,40,48,56,44,43,46,57,29,42,56,50,56,40
"i69",52,47,55,36,40,50,55,56,47,48,52,51,38,38,51,53,50,44
"i70",52,54,63,46,44,50,52,50,37,45,54,65,37,41,61,63,54,54
"i71",46,38,42,32,37,41,51,47,39,41,42,58,30,36,51,52,55,40
